--- Arvore geradora minima de 20---
20 ~> 740 | dist: 2.25
20 ~> 741 | dist: 2.52
20 ~> 742 | dist: 2.76
20 ~> 743 | dist: 2.29
20 ~> 744 | dist: 2.16
20 ~> 745 | dist: 2.29
20 ~> 746 | dist: 2.18
20 ~> 747 | dist: 3.36
20 ~> 748 | dist: 2.35
20 ~> 749 | dist: 1.94
20 ~> 750 | dist: 2.05
20 ~> 751 | dist: 2.30
20 ~> 752 | dist: 2.16
20 ~> 753 | dist: 1.85
20 ~> 754 | dist: 2.24
20 ~> 755 | dist: 3.09
20 ~> 756 | dist: 2.13
20 ~> 757 | dist: 1.89
20 ~> 758 | dist: 2.23
20 ~> 759 | dist: 1.94
20 ~> 760 | dist: 1.67
20 ~> 761 | dist: 2.14
20 ~> 762 | dist: 2.27
20 ~> 763 | dist: 1.68
20 ~> 764 | dist: 2.24
20 ~> 765 | dist: 2.29
20 ~> 766 | dist: 1.83
20 ~> 767 | dist: 1.39
20 ~> 768 | dist: 2.46
20 ~> 769 | dist: 2.82
20 ~> 770 | dist: 2.22
20 ~> 771 | dist: 2.74
20 ~> 772 | dist: 2.07
20 ~> 773 | dist: 1.88
20 ~> 774 | dist: 1.65
20 ~> 775 | dist: 1.40
20 ~> 776 | dist: 1.99
20 ~> 777 | dist: 2.30
20 ~> 778 | dist: 1.67
20 ~> 779 | dist: 2.57
20 ~> 780 | dist: 1.78
20 ~> 781 | dist: 2.55
20 ~> 782 | dist: 2.28
20 ~> 783 | dist: 1.75
20 ~> 784 | dist: 2.59
20 ~> 785 | dist: 2.12
20 ~> 786 | dist: 1.73
20 ~> 787 | dist: 2.88
20 ~> 788 | dist: 2.18
20 ~> 789 | dist: 2.48
20 ~> 790 | dist: 2.38
20 ~> 791 | dist: 2.75
20 ~> 792 | dist: 1.37
20 ~> 793 | dist: 2.00
20 ~> 794 | dist: 1.72
20 ~> 795 | dist: 2.87
20 ~> 796 | dist: 2.05
20 ~> 797 | dist: 2.13
20 ~> 798 | dist: 2.49
20 ~> 799 | dist: 2.26
20 ~> 800 | dist: 1.89
20 ~> 801 | dist: 1.98
20 ~> 802 | dist: 2.39
20 ~> 803 | dist: 1.83
20 ~> 804 | dist: 2.23
20 ~> 805 | dist: 1.84
20 ~> 806 | dist: 2.07
